DA Step: 1  | Current Entropy: 42.609
DA Step: 2  | Current Entropy: 44.476
DA Step: 3  | Current Entropy: 44.926
DA Step: 4  | Current Entropy: 49.038
DA Step: 5  | Current Entropy: 49.51
DA Step: 6  | Current Entropy: 49.584
DA Step: 7  | Current Entropy: 49.608
DA Step: 8  | Current Entropy: 53.908
DA Step: 9  | Current Entropy: 54.157
DA Step: 10  | Current Entropy: 54.285
DA Step: 11  | Current Entropy: 54.246
DA Step: 12  | Current Entropy: 55.78
DA Step: 13  | Current Entropy: 55.726
DA Step: 14  | Current Entropy: 66.9
DA Step: 15  | Current Entropy: 66.901
DA Step: 16  | Current Entropy: 67.387
DA Step: 17  | Current Entropy: 69.862
DA Step: 18  | Current Entropy: 73.108
DA Step: 19  | Current Entropy: 75.946
DA Step: 20  | Current Entropy: 76.328
DA Step: 21  | Current Entropy: 83.235
DA Step: 22  | Current Entropy: 84.569
DA Step: 23  | Current Entropy: 91.758
DA Step: 24  | Current Entropy: 97.554
DA Step: 25  | Current Entropy: 97.517
DA Step: 26  | Current Entropy: 98.611
DA Step: 27  | Current Entropy: 103.596
DA Step: 28  | Current Entropy: 105.168
DA Step: 29  | Current Entropy: 105.436
DA Step: 30  | Current Entropy: 105.475
DA Step: 31  | Current Entropy: 105.582
DA Step: 32  | Current Entropy: 105.587
