DA Step: 1  | Current Entropy: 47.81
DA Step: 2  | Current Entropy: 47.852
DA Step: 3  | Current Entropy: 48.237
DA Step: 4  | Current Entropy: 48.346
DA Step: 5  | Current Entropy: 48.763
DA Step: 6  | Current Entropy: 48.946
DA Step: 7  | Current Entropy: 57.447
DA Step: 8  | Current Entropy: 59.58
DA Step: 9  | Current Entropy: 60.214
DA Step: 10  | Current Entropy: 60.364
DA Step: 11  | Current Entropy: 60.34
DA Step: 12  | Current Entropy: 62.234
DA Step: 13  | Current Entropy: 66.884
DA Step: 14  | Current Entropy: 68.325
DA Step: 15  | Current Entropy: 71.74
DA Step: 16  | Current Entropy: 76.71
DA Step: 17  | Current Entropy: 77.887
DA Step: 18  | Current Entropy: 77.976
DA Step: 19  | Current Entropy: 78.642
DA Step: 20  | Current Entropy: 84.192
DA Step: 21  | Current Entropy: 84.37
DA Step: 22  | Current Entropy: 84.391
DA Step: 23  | Current Entropy: 84.763
DA Step: 24  | Current Entropy: 85.499
DA Step: 25  | Current Entropy: 86.149
