1,8.633,1.59779,0
2,11.166,16.0499,20
3,11.302,31.6385,20
4,11.28,39.896,20
5,18.767,51.1812,20
6,51.57,68.4543,20
7,51.518,77.6447,20
8,51.557,88.9847,20
9,51.808,103.71,20
10,51.79,114.392,20
11,51.781,123.465,20
12,51.875,140.658,20
13,52.347,153.01,20
14,55.74,167.955,20
15,56.263,188.26,20
16,59.195,206.576,20
17,59.298,216.847,20
18,59.278,232.568,20
19,59.287,260.893,20
20,59.289,273.602,20
21,59.332,290.825,20
22,59.346,301.727,20
23,59.366,312.749,20
24,59.375,328.336,20
25,59.424,355.779,20
26,59.869,371.546,20
27,60.576,385.135,20
28,62.779,403.104,20
29,64.019,418.15,20
30,64.169,434.878,20
31,64.486,475.531,20
32,71.773,496.827,20
33,71.91,508.558,20
34,71.883,522.388,20
35,71.852,534.08,20
36,73.33,548.125,20
37,73.345,566.341,20
38,73.376,573.256,20
39,73.397,577.434,20
40,73.411,581.298,20
41,73.42,585.133,20
42,73.431,590.128,20
43,73.397,609.606,20
44,73.518,626.141,20
45,73.524,643.624,20
46,73.556,659.555,20
47,73.56,665.359,20
48,73.59,673.93,20
49,73.726,691.734,20
50,73.719,708.004,20
51,73.717,713.357,20
52,73.72,717.463,20
53,73.719,721.247,20
54,73.721,725.237,20
55,73.724,728.99,20
56,73.731,732.809,20
57,73.735,736.939,20
58,73.747,740.407,20
59,73.749,744.222,20
60,73.749,747.814,20
