DA Step: 1  | Current Entropy: 33.403
DA Step: 2  | Current Entropy: 34.535
DA Step: 3  | Current Entropy: 34.803
DA Step: 4  | Current Entropy: 36.677
DA Step: 5  | Current Entropy: 37.583
DA Step: 6  | Current Entropy: 40.802
DA Step: 7  | Current Entropy: 40.893
DA Step: 8  | Current Entropy: 59.48
DA Step: 9  | Current Entropy: 69.805
DA Step: 10  | Current Entropy: 72.597
DA Step: 11  | Current Entropy: 79.642
DA Step: 12  | Current Entropy: 84.87
DA Step: 13  | Current Entropy: 85.283
DA Step: 14  | Current Entropy: 88.192
DA Step: 15  | Current Entropy: 88.818
DA Step: 16  | Current Entropy: 98.431
DA Step: 17  | Current Entropy: 98.755
DA Step: 18  | Current Entropy: 101.537
DA Step: 19  | Current Entropy: 102.168
DA Step: 20  | Current Entropy: 103.849
DA Step: 21  | Current Entropy: 103.974
DA Step: 22  | Current Entropy: 104.28
DA Step: 23  | Current Entropy: 105.663
DA Step: 24  | Current Entropy: 106.77
DA Step: 25  | Current Entropy: 107.065
DA Step: 26  | Current Entropy: 107.751
DA Step: 27  | Current Entropy: 118.894
DA Step: 28  | Current Entropy: 119.858
DA Step: 29  | Current Entropy: 120.114
DA Step: 30  | Current Entropy: 120.103
DA Step: 31  | Current Entropy: 121.613
DA Step: 32  | Current Entropy: 121.725
DA Step: 33  | Current Entropy: 121.779
DA Step: 34  | Current Entropy: 130.975
DA Step: 35  | Current Entropy: 133.844
DA Step: 36  | Current Entropy: 135.854
DA Step: 37  | Current Entropy: 138.379
DA Step: 38  | Current Entropy: 138.502
DA Step: 39  | Current Entropy: 138.435
DA Step: 40  | Current Entropy: 138.722
DA Step: 41  | Current Entropy: 146.472
DA Step: 42  | Current Entropy: 146.538
DA Step: 43  | Current Entropy: 146.564
DA Step: 44  | Current Entropy: 155.908
