DA Step: 1  | Current Entropy: 31.08
DA Step: 2  | Current Entropy: 38.499
DA Step: 3  | Current Entropy: 39.974
DA Step: 4  | Current Entropy: 42.23
DA Step: 5  | Current Entropy: 44.282
DA Step: 6  | Current Entropy: 44.358
DA Step: 7  | Current Entropy: 44.369
DA Step: 8  | Current Entropy: 44.582
DA Step: 9  | Current Entropy: 44.648
DA Step: 10  | Current Entropy: 44.747
DA Step: 11  | Current Entropy: 44.802
DA Step: 12  | Current Entropy: 44.814
DA Step: 13  | Current Entropy: 44.806
DA Step: 14  | Current Entropy: 44.835
DA Step: 15  | Current Entropy: 44.834
DA Step: 16  | Current Entropy: 44.823
DA Step: 17  | Current Entropy: 44.812
DA Step: 18  | Current Entropy: 54.648
DA Step: 19  | Current Entropy: 55.158
DA Step: 20  | Current Entropy: 55.35
DA Step: 21  | Current Entropy: 65.425
DA Step: 22  | Current Entropy: 65.909
DA Step: 23  | Current Entropy: 66.904
DA Step: 24  | Current Entropy: 66.901
DA Step: 25  | Current Entropy: 69.907
DA Step: 26  | Current Entropy: 75.496
DA Step: 27  | Current Entropy: 81.286
DA Step: 28  | Current Entropy: 81.4
DA Step: 29  | Current Entropy: 82.131
DA Step: 30  | Current Entropy: 82.396
DA Step: 31  | Current Entropy: 82.947
DA Step: 32  | Current Entropy: 89.159
DA Step: 33  | Current Entropy: 89.659
DA Step: 34  | Current Entropy: 90.411
DA Step: 35  | Current Entropy: 91.52
DA Step: 36  | Current Entropy: 91.655
DA Step: 37  | Current Entropy: 96.764
DA Step: 38  | Current Entropy: 96.755
DA Step: 39  | Current Entropy: 97.397
DA Step: 40  | Current Entropy: 97.545
DA Step: 41  | Current Entropy: 98.227
DA Step: 42  | Current Entropy: 98.254
DA Step: 43  | Current Entropy: 98.416
DA Step: 44  | Current Entropy: 98.426
DA Step: 45  | Current Entropy: 98.434
DA Step: 46  | Current Entropy: 98.429
DA Step: 47  | Current Entropy: 98.43
DA Step: 48  | Current Entropy: 98.431
DA Step: 49  | Current Entropy: 98.68
DA Step: 50  | Current Entropy: 98.672
DA Step: 51  | Current Entropy: 98.783
