DA Step: 1  | Current Entropy: 36.253
DA Step: 2  | Current Entropy: 43.115
DA Step: 3  | Current Entropy: 45.539
DA Step: 4  | Current Entropy: 48.057
DA Step: 5  | Current Entropy: 49.048
DA Step: 6  | Current Entropy: 50.97
DA Step: 7  | Current Entropy: 51.036
DA Step: 8  | Current Entropy: 51.575
DA Step: 9  | Current Entropy: 52.317
DA Step: 10  | Current Entropy: 52.792
DA Step: 11  | Current Entropy: 53.197
DA Step: 12  | Current Entropy: 58.087
DA Step: 13  | Current Entropy: 58.29
DA Step: 14  | Current Entropy: 60.221
DA Step: 15  | Current Entropy: 60.61
DA Step: 16  | Current Entropy: 61.561
DA Step: 17  | Current Entropy: 66.539
DA Step: 18  | Current Entropy: 66.576
DA Step: 19  | Current Entropy: 74.674
DA Step: 20  | Current Entropy: 75.038
DA Step: 21  | Current Entropy: 76.293
DA Step: 22  | Current Entropy: 76.242
DA Step: 23  | Current Entropy: 76.239
DA Step: 24  | Current Entropy: 76.613
DA Step: 25  | Current Entropy: 76.654
DA Step: 26  | Current Entropy: 77.309
DA Step: 27  | Current Entropy: 78.213
DA Step: 28  | Current Entropy: 78.298
DA Step: 29  | Current Entropy: 78.359
DA Step: 30  | Current Entropy: 84.005
DA Step: 31  | Current Entropy: 100.143
DA Step: 32  | Current Entropy: 102.197
DA Step: 33  | Current Entropy: 103.168
DA Step: 34  | Current Entropy: 106.474
DA Step: 35  | Current Entropy: 106.504
DA Step: 36  | Current Entropy: 106.479
DA Step: 37  | Current Entropy: 107.538
DA Step: 38  | Current Entropy: 107.555
DA Step: 39  | Current Entropy: 107.531
DA Step: 40  | Current Entropy: 107.54
DA Step: 41  | Current Entropy: 107.755
DA Step: 42  | Current Entropy: 107.82
DA Step: 43  | Current Entropy: 108.324
DA Step: 44  | Current Entropy: 108.58
DA Step: 45  | Current Entropy: 108.58
DA Step: 46  | Current Entropy: 108.583
DA Step: 47  | Current Entropy: 115.204
DA Step: 48  | Current Entropy: 115.295
DA Step: 49  | Current Entropy: 115.259
DA Step: 50  | Current Entropy: 115.253
DA Step: 51  | Current Entropy: 115.244
DA Step: 52  | Current Entropy: 115.714
DA Step: 53  | Current Entropy: 116.171
DA Step: 54  | Current Entropy: 116.213
DA Step: 55  | Current Entropy: 116.794
DA Step: 56  | Current Entropy: 116.791
DA Step: 57  | Current Entropy: 117.046
DA Step: 58  | Current Entropy: 123.943
DA Step: 59  | Current Entropy: 123.961
DA Step: 60  | Current Entropy: 123.964
DA Step: 61  | Current Entropy: 123.934
DA Step: 62  | Current Entropy: 123.94
DA Step: 63  | Current Entropy: 123.948
