DA Step: 1  | Current Entropy: 23.279
DA Step: 2  | Current Entropy: 25.222
DA Step: 3  | Current Entropy: 26.527
DA Step: 4  | Current Entropy: 29.811
DA Step: 5  | Current Entropy: 32.349
DA Step: 6  | Current Entropy: 39.783
DA Step: 7  | Current Entropy: 41.676
DA Step: 8  | Current Entropy: 42.752
DA Step: 9  | Current Entropy: 42.999
DA Step: 10  | Current Entropy: 49.739
DA Step: 11  | Current Entropy: 49.721
DA Step: 12  | Current Entropy: 51.672
DA Step: 13  | Current Entropy: 56.623
DA Step: 14  | Current Entropy: 57.413
DA Step: 15  | Current Entropy: 60.327
DA Step: 16  | Current Entropy: 61.284
DA Step: 17  | Current Entropy: 61.621
DA Step: 18  | Current Entropy: 68.888
DA Step: 19  | Current Entropy: 69.43
DA Step: 20  | Current Entropy: 70.704
DA Step: 21  | Current Entropy: 70.675
DA Step: 22  | Current Entropy: 70.907
DA Step: 23  | Current Entropy: 74.325
DA Step: 24  | Current Entropy: 74.604
DA Step: 25  | Current Entropy: 74.56
DA Step: 26  | Current Entropy: 74.637
DA Step: 27  | Current Entropy: 74.706
DA Step: 28  | Current Entropy: 79.506
DA Step: 29  | Current Entropy: 79.468
DA Step: 30  | Current Entropy: 79.819
DA Step: 31  | Current Entropy: 79.863
DA Step: 32  | Current Entropy: 80.06
DA Step: 33  | Current Entropy: 82.791
DA Step: 34  | Current Entropy: 83.213
DA Step: 35  | Current Entropy: 87.67
DA Step: 36  | Current Entropy: 88.314
DA Step: 37  | Current Entropy: 88.526
DA Step: 38  | Current Entropy: 89.305
DA Step: 39  | Current Entropy: 91.102
DA Step: 40  | Current Entropy: 91.58
DA Step: 41  | Current Entropy: 92.667
DA Step: 42  | Current Entropy: 92.723
DA Step: 43  | Current Entropy: 93.933
