DA Step: 1  | Current Entropy: 18.282
DA Step: 2  | Current Entropy: 19.736
DA Step: 3  | Current Entropy: 32.303
DA Step: 4  | Current Entropy: 33.577
DA Step: 5  | Current Entropy: 33.705
DA Step: 6  | Current Entropy: 33.649
DA Step: 7  | Current Entropy: 45.466
DA Step: 8  | Current Entropy: 46.935
DA Step: 9  | Current Entropy: 47.622
DA Step: 10  | Current Entropy: 50.117
DA Step: 11  | Current Entropy: 50.26
DA Step: 12  | Current Entropy: 50.419
DA Step: 13  | Current Entropy: 50.464
DA Step: 14  | Current Entropy: 51.383
DA Step: 15  | Current Entropy: 51.548
DA Step: 16  | Current Entropy: 51.669
