DA Step: 1  | Current Entropy: 12.944
DA Step: 2  | Current Entropy: 12.834
DA Step: 3  | Current Entropy: 12.786
DA Step: 4  | Current Entropy: 12.768
DA Step: 5  | Current Entropy: 14.107
DA Step: 6  | Current Entropy: 37.916
DA Step: 7  | Current Entropy: 40.015
DA Step: 8  | Current Entropy: 39.98
DA Step: 9  | Current Entropy: 39.911
DA Step: 10  | Current Entropy: 39.771
DA Step: 11  | Current Entropy: 39.968
DA Step: 12  | Current Entropy: 39.931
DA Step: 13  | Current Entropy: 39.987
DA Step: 14  | Current Entropy: 44.251
DA Step: 15  | Current Entropy: 44.319
DA Step: 16  | Current Entropy: 44.238
DA Step: 17  | Current Entropy: 44.3
DA Step: 18  | Current Entropy: 46.876
DA Step: 19  | Current Entropy: 46.895
DA Step: 20  | Current Entropy: 46.895
DA Step: 21  | Current Entropy: 46.888
DA Step: 22  | Current Entropy: 62.295
DA Step: 23  | Current Entropy: 61.896
DA Step: 24  | Current Entropy: 61.865
DA Step: 25  | Current Entropy: 64.272
DA Step: 26  | Current Entropy: 65.339
DA Step: 27  | Current Entropy: 65.926
DA Step: 28  | Current Entropy: 65.897
DA Step: 29  | Current Entropy: 65.93
DA Step: 30  | Current Entropy: 78.094
DA Step: 31  | Current Entropy: 78.225
DA Step: 32  | Current Entropy: 84.367
DA Step: 33  | Current Entropy: 85.513
DA Step: 34  | Current Entropy: 85.706
DA Step: 35  | Current Entropy: 85.847
DA Step: 36  | Current Entropy: 86.167
DA Step: 37  | Current Entropy: 111.62
DA Step: 38  | Current Entropy: 112.004
DA Step: 39  | Current Entropy: 116.94
DA Step: 40  | Current Entropy: 118.18
DA Step: 41  | Current Entropy: 131.332
DA Step: 42  | Current Entropy: 158.955
DA Step: 43  | Current Entropy: 163.931
DA Step: 44  | Current Entropy: 168.213
DA Step: 45  | Current Entropy: 182.16
DA Step: 46  | Current Entropy: 188.266
DA Step: 47  | Current Entropy: 204.53
DA Step: 48  | Current Entropy: 206.492
DA Step: 49  | Current Entropy: 207.349
DA Step: 50  | Current Entropy: 207.878
DA Step: 51  | Current Entropy: 225.72
DA Step: 52  | Current Entropy: 225.68
DA Step: 53  | Current Entropy: 228.519
DA Step: 54  | Current Entropy: 228.44
DA Step: 55  | Current Entropy: 228.748
DA Step: 56  | Current Entropy: 229.649
DA Step: 57  | Current Entropy: 238.711
DA Step: 58  | Current Entropy: 239.138
DA Step: 59  | Current Entropy: 239.525
DA Step: 60  | Current Entropy: 239.487
