DA Step: 1  | Current Entropy: 32.153
DA Step: 2  | Current Entropy: 34.552
DA Step: 3  | Current Entropy: 34.77
DA Step: 4  | Current Entropy: 35.025
DA Step: 5  | Current Entropy: 35
DA Step: 6  | Current Entropy: 53.927
DA Step: 7  | Current Entropy: 60.084
DA Step: 8  | Current Entropy: 60.287
DA Step: 9  | Current Entropy: 60.331
DA Step: 10  | Current Entropy: 61.86
DA Step: 11  | Current Entropy: 63.615
DA Step: 12  | Current Entropy: 71.912
DA Step: 13  | Current Entropy: 71.947
DA Step: 14  | Current Entropy: 73.073
DA Step: 15  | Current Entropy: 72.99
DA Step: 16  | Current Entropy: 73.01
DA Step: 17  | Current Entropy: 73.698
DA Step: 18  | Current Entropy: 74.685
DA Step: 19  | Current Entropy: 76.113
DA Step: 20  | Current Entropy: 76.315
DA Step: 21  | Current Entropy: 77.09
DA Step: 22  | Current Entropy: 77.474
DA Step: 23  | Current Entropy: 77.739
DA Step: 24  | Current Entropy: 77.774
DA Step: 25  | Current Entropy: 79.22
DA Step: 26  | Current Entropy: 79.289
DA Step: 27  | Current Entropy: 79.973
DA Step: 28  | Current Entropy: 80.274
DA Step: 29  | Current Entropy: 81.034
DA Step: 30  | Current Entropy: 81.131
DA Step: 31  | Current Entropy: 81.513
DA Step: 32  | Current Entropy: 81.538
DA Step: 33  | Current Entropy: 82.036
DA Step: 34  | Current Entropy: 82.049
DA Step: 35  | Current Entropy: 81.998
DA Step: 36  | Current Entropy: 82.509
DA Step: 37  | Current Entropy: 82.429
