DA Step: 1  | Current Entropy: 15.857
DA Step: 2  | Current Entropy: 20.398
DA Step: 3  | Current Entropy: 20.752
DA Step: 4  | Current Entropy: 21.198
DA Step: 5  | Current Entropy: 22.412
DA Step: 6  | Current Entropy: 27.541
DA Step: 7  | Current Entropy: 33.499
DA Step: 8  | Current Entropy: 33.974
DA Step: 9  | Current Entropy: 37.44
DA Step: 10  | Current Entropy: 39.448
DA Step: 11  | Current Entropy: 41.954
DA Step: 12  | Current Entropy: 42.977
DA Step: 13  | Current Entropy: 44.213
DA Step: 14  | Current Entropy: 44.562
DA Step: 15  | Current Entropy: 44.838
DA Step: 16  | Current Entropy: 45.097
DA Step: 17  | Current Entropy: 45.794
DA Step: 18  | Current Entropy: 45.832
DA Step: 19  | Current Entropy: 45.857
DA Step: 20  | Current Entropy: 45.847
DA Step: 21  | Current Entropy: 45.839
DA Step: 22  | Current Entropy: 45.898
DA Step: 23  | Current Entropy: 45.886
DA Step: 24  | Current Entropy: 45.996
DA Step: 25  | Current Entropy: 46.002
DA Step: 26  | Current Entropy: 49.576
DA Step: 27  | Current Entropy: 49.742
DA Step: 28  | Current Entropy: 50.722
DA Step: 29  | Current Entropy: 55.387
DA Step: 30  | Current Entropy: 61.084
DA Step: 31  | Current Entropy: 61.204
DA Step: 32  | Current Entropy: 61.488
DA Step: 33  | Current Entropy: 62.502
DA Step: 34  | Current Entropy: 62.505
DA Step: 35  | Current Entropy: 62.524
DA Step: 36  | Current Entropy: 62.495
DA Step: 37  | Current Entropy: 62.459
DA Step: 38  | Current Entropy: 62.708
DA Step: 39  | Current Entropy: 62.694
DA Step: 40  | Current Entropy: 62.661
DA Step: 41  | Current Entropy: 62.676
DA Step: 42  | Current Entropy: 62.748
DA Step: 43  | Current Entropy: 62.779
DA Step: 44  | Current Entropy: 62.788
DA Step: 45  | Current Entropy: 63.721
DA Step: 46  | Current Entropy: 63.721
DA Step: 47  | Current Entropy: 74.049
DA Step: 48  | Current Entropy: 78.006
DA Step: 49  | Current Entropy: 78.22
DA Step: 50  | Current Entropy: 83.319
DA Step: 51  | Current Entropy: 84.719
DA Step: 52  | Current Entropy: 86.187
DA Step: 53  | Current Entropy: 87.435
DA Step: 54  | Current Entropy: 87.797
DA Step: 55  | Current Entropy: 87.964
DA Step: 56  | Current Entropy: 88.351
DA Step: 57  | Current Entropy: 89.656
DA Step: 58  | Current Entropy: 89.645
DA Step: 59  | Current Entropy: 93.723
DA Step: 60  | Current Entropy: 93.729
DA Step: 61  | Current Entropy: 94.319
DA Step: 62  | Current Entropy: 94.34
DA Step: 63  | Current Entropy: 94.529
DA Step: 64  | Current Entropy: 94.559
DA Step: 65  | Current Entropy: 94.625
DA Step: 66  | Current Entropy: 94.774
DA Step: 67  | Current Entropy: 95.046
DA Step: 68  | Current Entropy: 97.237
DA Step: 69  | Current Entropy: 97.261
DA Step: 70  | Current Entropy: 97.299
DA Step: 71  | Current Entropy: 97.36
DA Step: 72  | Current Entropy: 97.359
DA Step: 73  | Current Entropy: 97.872
DA Step: 74  | Current Entropy: 97.881
DA Step: 75  | Current Entropy: 97.871
DA Step: 76  | Current Entropy: 97.873
DA Step: 77  | Current Entropy: 97.935
DA Step: 78  | Current Entropy: 97.936
DA Step: 79  | Current Entropy: 97.963
DA Step: 80  | Current Entropy: 97.927
DA Step: 81  | Current Entropy: 98.01
DA Step: 82  | Current Entropy: 98.264
