DA Step: 1  | Current Entropy: 33.087
DA Step: 2  | Current Entropy: 33.817
DA Step: 3  | Current Entropy: 42.363
DA Step: 4  | Current Entropy: 44.316
DA Step: 5  | Current Entropy: 47.813
DA Step: 6  | Current Entropy: 48.635
DA Step: 7  | Current Entropy: 81.073
DA Step: 8  | Current Entropy: 88.077
DA Step: 9  | Current Entropy: 94.962
DA Step: 10  | Current Entropy: 96.206
DA Step: 11  | Current Entropy: 98.546
DA Step: 12  | Current Entropy: 100.545
DA Step: 13  | Current Entropy: 100.682
DA Step: 14  | Current Entropy: 103.821
DA Step: 15  | Current Entropy: 105.189
DA Step: 16  | Current Entropy: 105.172
DA Step: 17  | Current Entropy: 106.443
DA Step: 18  | Current Entropy: 106.673
DA Step: 19  | Current Entropy: 116.127
DA Step: 20  | Current Entropy: 116.341
DA Step: 21  | Current Entropy: 116.448
DA Step: 22  | Current Entropy: 117.884
DA Step: 23  | Current Entropy: 122.562
DA Step: 24  | Current Entropy: 123.654
DA Step: 25  | Current Entropy: 126.61
DA Step: 26  | Current Entropy: 127.367
DA Step: 27  | Current Entropy: 129.813
DA Step: 28  | Current Entropy: 130.133
DA Step: 29  | Current Entropy: 130.693
DA Step: 30  | Current Entropy: 131.004
DA Step: 31  | Current Entropy: 131.844
DA Step: 32  | Current Entropy: 131.91
DA Step: 33  | Current Entropy: 132.251
DA Step: 34  | Current Entropy: 132.507
DA Step: 35  | Current Entropy: 133.057
DA Step: 36  | Current Entropy: 134.58
DA Step: 37  | Current Entropy: 134.843
DA Step: 38  | Current Entropy: 135.688
DA Step: 39  | Current Entropy: 136.561
DA Step: 40  | Current Entropy: 138.366
