DA Step: 1  | Current Entropy: 0
DA Step: 2  | Current Entropy: 0
DA Step: 3  | Current Entropy: 0
DA Step: 4  | Current Entropy: 0
DA Step: 5  | Current Entropy: 0
DA Step: 6  | Current Entropy: 0
DA Step: 7  | Current Entropy: 0
DA Step: 8  | Current Entropy: 0
DA Step: 9  | Current Entropy: 0
DA Step: 10  | Current Entropy: 0
DA Step: 11  | Current Entropy: 0
DA Step: 12  | Current Entropy: 0
DA Step: 13  | Current Entropy: 0
