DA Step: 1  | Current Entropy: 14.305
DA Step: 2  | Current Entropy: 16.003
DA Step: 3  | Current Entropy: 17.142
DA Step: 4  | Current Entropy: 18.518
DA Step: 5  | Current Entropy: 21.065
DA Step: 6  | Current Entropy: 21.722
DA Step: 7  | Current Entropy: 22.712
DA Step: 8  | Current Entropy: 23.646
DA Step: 9  | Current Entropy: 24.121
DA Step: 10  | Current Entropy: 24.11
DA Step: 11  | Current Entropy: 25.269
DA Step: 12  | Current Entropy: 26.191
DA Step: 13  | Current Entropy: 26.581
DA Step: 14  | Current Entropy: 26.56
DA Step: 15  | Current Entropy: 26.884
DA Step: 16  | Current Entropy: 26.844
