DA Step: 1  | Current Entropy: 13.622
DA Step: 2  | Current Entropy: 28.978
DA Step: 3  | Current Entropy: 33.251
DA Step: 4  | Current Entropy: 33.595
DA Step: 5  | Current Entropy: 33.987
DA Step: 6  | Current Entropy: 36.705
DA Step: 7  | Current Entropy: 52.181
DA Step: 8  | Current Entropy: 52.864
DA Step: 9  | Current Entropy: 52.999
DA Step: 10  | Current Entropy: 54.431
DA Step: 11  | Current Entropy: 55.657
DA Step: 12  | Current Entropy: 55.953
DA Step: 13  | Current Entropy: 56.536
DA Step: 14  | Current Entropy: 56.81
DA Step: 15  | Current Entropy: 62.818
DA Step: 16  | Current Entropy: 63.715
DA Step: 17  | Current Entropy: 74.761
DA Step: 18  | Current Entropy: 75.104
DA Step: 19  | Current Entropy: 77.976
DA Step: 20  | Current Entropy: 85.92
DA Step: 21  | Current Entropy: 87.838
DA Step: 22  | Current Entropy: 103.162
DA Step: 23  | Current Entropy: 103.347
DA Step: 24  | Current Entropy: 104.164
DA Step: 25  | Current Entropy: 104.665
DA Step: 26  | Current Entropy: 106.303
DA Step: 27  | Current Entropy: 112.129
DA Step: 28  | Current Entropy: 115.002
DA Step: 29  | Current Entropy: 116.827
DA Step: 30  | Current Entropy: 118.638
DA Step: 31  | Current Entropy: 118.819
DA Step: 32  | Current Entropy: 119.237
DA Step: 33  | Current Entropy: 119.611
DA Step: 34  | Current Entropy: 119.714
DA Step: 35  | Current Entropy: 119.769
DA Step: 36  | Current Entropy: 120.716
DA Step: 37  | Current Entropy: 120.765
DA Step: 38  | Current Entropy: 125.554
DA Step: 39  | Current Entropy: 125.896
DA Step: 40  | Current Entropy: 126.423
DA Step: 41  | Current Entropy: 127.653
DA Step: 42  | Current Entropy: 129.987
DA Step: 43  | Current Entropy: 133.83
DA Step: 44  | Current Entropy: 133.893
DA Step: 45  | Current Entropy: 135.208
DA Step: 46  | Current Entropy: 135.252
DA Step: 47  | Current Entropy: 135.254
DA Step: 48  | Current Entropy: 135.24
DA Step: 49  | Current Entropy: 141.332
DA Step: 50  | Current Entropy: 141.415
DA Step: 51  | Current Entropy: 141.408
DA Step: 52  | Current Entropy: 141.394
DA Step: 53  | Current Entropy: 141.917
DA Step: 54  | Current Entropy: 142.139
DA Step: 55  | Current Entropy: 142.125
DA Step: 56  | Current Entropy: 142.229
DA Step: 57  | Current Entropy: 142.259
DA Step: 58  | Current Entropy: 142.263
DA Step: 59  | Current Entropy: 142.553
DA Step: 60  | Current Entropy: 142.554
DA Step: 61  | Current Entropy: 142.671
