DA Step: 1  | Current Entropy: 16.037
DA Step: 2  | Current Entropy: 16.181
DA Step: 3  | Current Entropy: 22.662
DA Step: 4  | Current Entropy: 28.536
DA Step: 5  | Current Entropy: 34.813
DA Step: 6  | Current Entropy: 42.734
DA Step: 7  | Current Entropy: 47.217
DA Step: 8  | Current Entropy: 48.93
DA Step: 9  | Current Entropy: 51.817
DA Step: 10  | Current Entropy: 57.74
DA Step: 11  | Current Entropy: 59.06
DA Step: 12  | Current Entropy: 61.94
DA Step: 13  | Current Entropy: 64.62
DA Step: 14  | Current Entropy: 64.726
DA Step: 15  | Current Entropy: 67.128
DA Step: 16  | Current Entropy: 74.027
DA Step: 17  | Current Entropy: 74.303
DA Step: 18  | Current Entropy: 74.356
DA Step: 19  | Current Entropy: 74.315
DA Step: 20  | Current Entropy: 74.646
DA Step: 21  | Current Entropy: 74.859
DA Step: 22  | Current Entropy: 75.456
DA Step: 23  | Current Entropy: 75.444
DA Step: 24  | Current Entropy: 76.095
DA Step: 25  | Current Entropy: 76.123
DA Step: 26  | Current Entropy: 76.669
DA Step: 27  | Current Entropy: 79.379
DA Step: 28  | Current Entropy: 81.878
DA Step: 29  | Current Entropy: 83.252
DA Step: 30  | Current Entropy: 85.897
DA Step: 31  | Current Entropy: 86.065
DA Step: 32  | Current Entropy: 87.082
DA Step: 33  | Current Entropy: 88.242
DA Step: 34  | Current Entropy: 89.704
