DA Step: 1  | Current Entropy: 24.18
DA Step: 2  | Current Entropy: 26.892
DA Step: 3  | Current Entropy: 28.844
DA Step: 4  | Current Entropy: 28.958
DA Step: 5  | Current Entropy: 32.226
DA Step: 6  | Current Entropy: 32.73
DA Step: 7  | Current Entropy: 33.616
DA Step: 8  | Current Entropy: 35.938
DA Step: 9  | Current Entropy: 36.128
DA Step: 10  | Current Entropy: 36.711
DA Step: 11  | Current Entropy: 36.986
DA Step: 12  | Current Entropy: 37.011
DA Step: 13  | Current Entropy: 37.374
DA Step: 14  | Current Entropy: 37.77
DA Step: 15  | Current Entropy: 38.205
DA Step: 16  | Current Entropy: 39.678
DA Step: 17  | Current Entropy: 39.949
DA Step: 18  | Current Entropy: 47.935
DA Step: 19  | Current Entropy: 48.026
DA Step: 20  | Current Entropy: 48.004
DA Step: 21  | Current Entropy: 48.137
DA Step: 22  | Current Entropy: 48.176
DA Step: 23  | Current Entropy: 51.739
DA Step: 24  | Current Entropy: 55.987
DA Step: 25  | Current Entropy: 56.362
DA Step: 26  | Current Entropy: 60.255
DA Step: 27  | Current Entropy: 62.511
DA Step: 28  | Current Entropy: 62.761
DA Step: 29  | Current Entropy: 65.435
DA Step: 30  | Current Entropy: 67.417
DA Step: 31  | Current Entropy: 67.422
DA Step: 32  | Current Entropy: 67.651
DA Step: 33  | Current Entropy: 67.843
DA Step: 34  | Current Entropy: 68.021
DA Step: 35  | Current Entropy: 68.127
DA Step: 36  | Current Entropy: 68.081
DA Step: 37  | Current Entropy: 68.129
DA Step: 38  | Current Entropy: 68.232
DA Step: 39  | Current Entropy: 68.343
DA Step: 40  | Current Entropy: 69.37
DA Step: 41  | Current Entropy: 69.387
DA Step: 42  | Current Entropy: 70.017
DA Step: 43  | Current Entropy: 70.059
DA Step: 44  | Current Entropy: 70.171
DA Step: 45  | Current Entropy: 70.22
DA Step: 46  | Current Entropy: 70.261
DA Step: 47  | Current Entropy: 70.331
DA Step: 48  | Current Entropy: 70.344
DA Step: 49  | Current Entropy: 70.392
DA Step: 50  | Current Entropy: 70.392
