DA Step: 1  | Current Entropy: 4.035
DA Step: 2  | Current Entropy: 4.554
DA Step: 3  | Current Entropy: 4.855
DA Step: 4  | Current Entropy: 4.904
DA Step: 5  | Current Entropy: 23.648
DA Step: 6  | Current Entropy: 24.363
DA Step: 7  | Current Entropy: 24.405
DA Step: 8  | Current Entropy: 24.594
DA Step: 9  | Current Entropy: 24.591
DA Step: 10  | Current Entropy: 24.857
DA Step: 11  | Current Entropy: 27.12
DA Step: 12  | Current Entropy: 27.07
DA Step: 13  | Current Entropy: 30.433
DA Step: 14  | Current Entropy: 44.935
DA Step: 15  | Current Entropy: 45.689
DA Step: 16  | Current Entropy: 46.31
DA Step: 17  | Current Entropy: 56.411
DA Step: 18  | Current Entropy: 56.434
DA Step: 19  | Current Entropy: 58.243
DA Step: 20  | Current Entropy: 59.225
DA Step: 21  | Current Entropy: 60.238
DA Step: 22  | Current Entropy: 60.289
DA Step: 23  | Current Entropy: 64.429
DA Step: 24  | Current Entropy: 64.409
DA Step: 25  | Current Entropy: 65.634
DA Step: 26  | Current Entropy: 65.629
DA Step: 27  | Current Entropy: 67.176
DA Step: 28  | Current Entropy: 67.391
DA Step: 29  | Current Entropy: 67.407
DA Step: 30  | Current Entropy: 67.613
DA Step: 31  | Current Entropy: 67.538
DA Step: 32  | Current Entropy: 70.229
DA Step: 33  | Current Entropy: 70.305
DA Step: 34  | Current Entropy: 70.313
DA Step: 35  | Current Entropy: 70.302
DA Step: 36  | Current Entropy: 73.441
DA Step: 37  | Current Entropy: 73.498
DA Step: 38  | Current Entropy: 73.514
DA Step: 39  | Current Entropy: 73.448
DA Step: 40  | Current Entropy: 73.401
DA Step: 41  | Current Entropy: 76.667
DA Step: 42  | Current Entropy: 76.738
DA Step: 43  | Current Entropy: 78.468
DA Step: 44  | Current Entropy: 78.582
DA Step: 45  | Current Entropy: 82.809
DA Step: 46  | Current Entropy: 83.11
DA Step: 47  | Current Entropy: 85.93
DA Step: 48  | Current Entropy: 86.908
DA Step: 49  | Current Entropy: 94.116
DA Step: 50  | Current Entropy: 94.387
DA Step: 51  | Current Entropy: 95.494
DA Step: 52  | Current Entropy: 96.123
DA Step: 53  | Current Entropy: 104.954
DA Step: 54  | Current Entropy: 105.084
DA Step: 55  | Current Entropy: 109.032
DA Step: 56  | Current Entropy: 110.482
DA Step: 57  | Current Entropy: 112.334
DA Step: 58  | Current Entropy: 112.503
DA Step: 59  | Current Entropy: 113.059
DA Step: 60  | Current Entropy: 112.972
DA Step: 61  | Current Entropy: 113.314
DA Step: 62  | Current Entropy: 113.35
DA Step: 63  | Current Entropy: 113.328
DA Step: 64  | Current Entropy: 115.401
DA Step: 65  | Current Entropy: 115.416
DA Step: 66  | Current Entropy: 116.04
DA Step: 67  | Current Entropy: 116.045
DA Step: 68  | Current Entropy: 116.296
DA Step: 69  | Current Entropy: 116.308
DA Step: 70  | Current Entropy: 117.297
DA Step: 71  | Current Entropy: 117.292
DA Step: 72  | Current Entropy: 117.202
