1,44.833,57.083245
2,47.837,106.26144
3,47.816,139.79546
4,49.295,178.64447
5,49.704,232.88648
6,50.785,273.05748
7,50.772,319.17740
8,54.255,371.09339
9,59.595,402.34944
10,60.347,419.11631
11,64.463,441.64833
12,69.34,484.9432
13,69.507,517.84927
14,72.074,533.28625
15,72.465,554.9433
16,84.049,590.11834
17,98.02,623.24440
18,98.432,649.74830
19,98.676,667.88429
20,104.811,685.17529
21,105.391,709.88832
22,107.636,735.69831
23,108.544,764.11227
24,109.159,812.89728
25,117.904,862.02225
26,117.946,885.3419
27,119.057,902.90321
28,119.08,913.44116
29,120.462,932.1669
