1,40.191,57.821321
2,40.234,94.950629
3,49.763,130.44625
4,52.692,270.46624
5,69.973,310.41332
6,76.143,366.57541
7,76.913,385.34535
8,77.116,414.51135
9,83.791,427.88233
10,84.54,470.78730
11,85.05,521.9724
12,85.085,541.12721
13,89.572,566.30721
14,90.782,581.23126
15,92.105,634.98828
16,95.735,656.89625
17,96.734,681.68527
18,96.922,693.03428
19,98.209,706.55628
20,98.159,721.03527
21,98.258,742.29927
22,99.165,763.71526
23,99.215,780.74327
24,99.404,794.6628
25,99.408,828.40424
26,103.393,847.32923
27,106.024,882.7115
28,106.083,905.31615
29,107.668,964.53217
30,107.899,976.25121
31,108.018,1000.915
32,113.965,1020.515
33,116.317,1050.2815
34,116.904,1059.5819
35,117.025,1071.6816
36,117.025,1110.5118
37,117.739,1146.8518
38,117.812,1175.1816
39,117.83,1208.3216
40,117.83,1245.413
41,118.674,1274.6313
42,118.674,1352.8914
43,119.168,1426.0514
44,123.119,1489.2514
